date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:42:35	22044/22044	---M--	200	added ('OK')	image/svg+xml	etag:%221f61e24-561c-4f7596fe0dc00%22	http://www.emeraldsunrooms.com/styles/gothicb.svg	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/styles/gothicb.svg	(from http://www.emeraldsunrooms.com/styles/styles.css)
23:42:50	129874/129874	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221f61e23-1fb52-4f7596ff01e40%22	http://www.emeraldsunrooms.com/styles/gothicb.eot?	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/styles/gothicbd41d.eot	(from http://www.emeraldsunrooms.com/styles/styles.css)
23:42:51	129676/129676	---M--	200	added ('OK')	application/x-font-ttf	etag:%221f61e25-1fa8c-4f7596fff6080%22	http://www.emeraldsunrooms.com/styles/gothicb.ttf	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/styles/gothicb.ttf	(from http://www.emeraldsunrooms.com/styles/styles.css)
23:42:51	483/483	---M--	200	added ('OK')	image/jpeg	etag:%221f61e53-1e3-4f75970d50000%22	http://www.emeraldsunrooms.com/images/common/bodyBG-inner.jpg	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/images/common/bodyBG-inner.jpg	(from http://www.emeraldsunrooms.com/styles/styles.css)
23:42:52	13160/13160	---M--	200	added ('OK')	image/jpeg	etag:%221f61e52-3368-4f75970d50000%22	http://www.emeraldsunrooms.com/images/common/cn-wrapper.jpg	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/images/common/cn-wrapper.jpg	(from http://www.emeraldsunrooms.com/styles/styles.css)
23:42:52	1760/1760	---M--	200	added ('OK')	image/png	etag:%221f61e58-6e0-4f75970e44240%22	http://www.emeraldsunrooms.com/images/common/nav-img.png	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/images/common/nav-img.png	(from http://www.emeraldsunrooms.com/styles/styles.css)
23:42:52	192/192	---M--	200	added ('OK')	image/png	etag:%221f61e57-c0-4f75970e44240%22	http://www.emeraldsunrooms.com/images/common/nav-hover.png	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/images/common/nav-hover.png	(from http://www.emeraldsunrooms.com/styles/styles.css)
23:42:53	421/421	---M--	200	added ('OK')	image/jpeg	etag:%221f61e4e-1a5-4f75970b67b80%22	http://www.emeraldsunrooms.com/images/common/bn-ddBG.jpg	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/images/common/bn-ddBG.jpg	(from http://www.emeraldsunrooms.com/styles/styles.css)
23:42:53	213/213	---M--	200	added ('OK')	image/png	etag:%221f61ef4-d5-4f75973fdb740%22	http://www.emeraldsunrooms.com/images/content/bottom/mn-divider.png	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/images/content/bottom/mn-divider.png	(from http://www.emeraldsunrooms.com/styles/styles.css)
23:42:53	2105/2105	---M--	200	added ('OK')	image/png	etag:%221f61ef3-839-4f75973ee7500%22	http://www.emeraldsunrooms.com/images/content/bottom/divider-box.png	C:/xampp/htdocs/ESRLIVESITE/esrtest/www.emeraldsunrooms.com/images/content/bottom/divider-box.png	(from http://www.emeraldsunrooms.com/styles/styles.css)
